scenario,interval_count,converged_intervals,minimum_voltage_pu,maximum_current_a,maximum_voltage_pu,peak_grid_import_kw,minimum_grid_power_kw,feeder_loss_energy_kWh
optimized,192,192,0.9999218692872645,1.4732864083194381,0.9999752293418672,29.517612030555146,0.0,0.020823857996065554
no_battery,192,192,0.9999218692872645,1.4732864083194381,0.9999821761234089,29.517612030678862,-4.935767697158106,0.02134327847406399
