carbon_weight,scenario,cost,emissions_kgCO2,battery_throughput_kWh,degradation_cost,total_operating_cost,cost_savings,operating_cost_savings,emissions_reduction_kgCO2
0.0,synthetic,48.039630635692866,212.19416790855274,76.96969178624883,2.3090907535874647,50.34872138928033,1.0206363047580496,-1.2884544488294125,-1.8628672669535717
0.0,real_price,47.86858123305376,208.7320212751453,18.39913142100425,0.5519739426301274,48.42055517568389,1.1916857073971556,0.6397117647670285,1.5992793664538567
0.0,real_carbon,48.039630635692866,212.19416790855274,76.96969178624883,2.3090907535874647,50.34872138928033,1.0206363047580496,-1.2884544488294125,-1.8628672669535717
0.0,combined_real,47.86858123305376,208.7320212751453,18.39913142100425,0.5519739426301274,48.42055517568389,1.1916857073971556,0.6397117647670285,1.5992793664538567
0.0,no_battery,49.060266940450916,210.33130064159917,0.0,0.0,49.060266940450916,0.0,0.0,0.0
0.2,synthetic,47.6459319841947,211.4264660856853,64.08421147604139,1.9225263442812417,49.56845832847595,1.4143349562562122,-0.5081913880250326,-1.0951654440861205
0.2,real_price,47.51967630821286,208.04652763066701,42.1606657410734,1.264819972232202,48.78449628044506,1.5405906322380574,0.27577066000585404,2.284773010932156
0.2,real_carbon,47.660035683820695,210.69219988071833,64.08421075420918,1.9225263226262754,49.58256200644697,1.4002312566302209,-0.5222950659960546,-0.36089923911916344
0.2,combined_real,47.53097752704913,207.97925874042002,31.6204987181701,0.9486149615451029,48.479592488594236,1.5292894134017843,0.5806744518566802,2.352041901179149
0.2,no_battery,49.060266940450916,210.33130064159917,0.0,0.0,49.060266940450916,0.0,0.0,0.0
0.5,synthetic,47.901983637369135,209.11611018037087,64.0842139684109,1.9225264190523268,49.82451005642146,1.158283303081781,-0.7642431159705438,1.2151904612283033
0.5,real_price,47.534748947810314,206.93286429797823,64.08421134668845,1.9225263404006534,49.457275288210965,1.5255179926406015,-0.3970083477600497,3.3984363436209435
0.5,real_carbon,47.75269836972369,210.2482252187796,64.08421136696694,1.922526341009008,49.6752247107327,1.307568570727227,-0.6149577702817837,0.0830754228195758
0.5,combined_real,47.30169034230046,205.66304074483327,64.08421007037539,1.9225263021112617,49.224216644411726,1.758576598150455,-0.1639497039608102,4.668259896765903
0.5,no_battery,49.060266940450916,210.33130064159917,0.0,0.0,49.060266940450916,0.0,0.0,0.0
