load_kw,pv_kw,battery_net_injection_kw,battery_soc_kWh,timestamp,converged,minimum_voltage_pu,maximum_voltage_pu,maximum_current_a,source_real_power_kw,feeder_real_loss_kw,scheduled_grid_import_kw,receiving_end_real_power_kw,grid_import_error_kw
15.0,0.0,0.0,9.999999999362425,2026-08-25 00:00:00-07:00,True,0.999964165649865,0.9999641656498696,0.7282365524172911,15.00032197292732,0.0003194228255188136,15.0,15.0000025501018,2.5501018008355913e-06
15.0,0.0,0.0,9.999999987286794,2026-08-25 00:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999986909073,2026-08-25 00:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999986583944,2026-08-25 00:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.99999998571048,2026-08-25 01:00:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999985290655,2026-08-25 01:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999985023395,2026-08-25 01:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999984832629,2026-08-25 01:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999984551067,2026-08-25 02:00:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999984366204,2026-08-25 02:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999984199022,2026-08-25 02:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.99999998408046,2026-08-25 02:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999983710456,2026-08-25 03:00:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999983354304,2026-08-25 03:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999982992945,2026-08-25 03:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999982628433,2026-08-25 03:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999982378627,2026-08-25 04:00:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.99999998211603,2026-08-25 04:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999981802382,2026-08-25 04:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.99999998148978,2026-08-25 04:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.99999998116475,2026-08-25 05:00:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999980777956,2026-08-25 05:15:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.9999999802882,2026-08-25 05:30:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
15.0,0.0,0.0,9.999999979287873,2026-08-25 05:45:00-07:00,True,0.9999641656560178,0.9999641656560223,0.7282364281329319,15.000319422723017,0.00031942269826322445,15.0,15.000000000024754,2.475353255704249e-11
25.0,0.0,0.0,9.99999997907659,2026-08-25 06:00:00-07:00,True,0.9999400384389042,0.9999400384389118,1.2156214343382943,25.00088856439941,0.0008887099047042284,25.0,24.999999854494707,-1.4550529314760752e-07
25.0,1.962093876904292,0.0,9.99999997887196,2026-08-25 06:15:00-07:00,True,0.9999428006536422,0.9999428006536492,1.1294505478674148,23.038673601438628,0.0007674636772644589,23.03790612309571,23.037906137761365,1.466565535679365e-08
25.0,3.915785766601547,0.0,9.999999978701616,2026-08-25 06:30:00-07:00,True,0.9999455509896148,0.9999455509896215,1.0444376673908204,21.084870824623117,0.0006565785437005616,21.084214233398452,21.084214246079416,1.268096383455486e-08
25.0,5.852709660483847,0.0,9.999999978591,2026-08-25 06:45:00-07:00,True,0.9999482776700517,0.9999482776700577,0.9611374761603162,19.14784668996187,0.000556339588715673,19.147290339516154,19.147290350373154,1.0857000631858682e-08
25.0,7.764571353075622,0.0,9.999999978262908,2026-08-25 07:00:00-07:00,True,0.9999509690205048,0.9999509690205106,0.880147083018448,17.23589551982434,0.00046686373137526973,17.235428646924376,17.235428656092964,9.168587666863459e-09
25.0,9.643183959094848,0.0,9.999999978287825,2026-08-25 07:15:00-07:00,True,0.999953613518423,0.9999536135184284,0.8021179708035016,15.357204152803243,0.0003881042912726116,15.356816040905152,15.35681604851197,7.606818286376438e-09
25.0,11.480502970952694,0.0,9.999999978526144,2026-08-25 07:30:00-07:00,True,0.9999561998424537,0.9999561998424585,0.7277710677178697,13.51981689401612,0.0003198587888537077,13.519497029047306,13.519497035227266,6.1799596551281866e-09
25.0,13.268660706570037,0.0,9.999999979054186,2026-08-25 07:45:00-07:00,True,0.9999587169208753,0.9999587169208795,0.6579139496840954,11.731601077096148,0.0002617787624299126,11.731339293429963,11.731339298333717,4.903753847429471e-09
25.0,14.999999999999998,0.0,9.999999979489475,2026-08-25 08:00:00-07:00,True,0.999961153978951,0.9999611539789548,0.5934564118755087,10.0002133863904,0.00021338261016671823,10.000000000000002,10.000000003780233,3.780231239147724e-09
25.0,16.667106990588067,0.0,9.999999980387804,2026-08-25 08:15:00-07:00,True,0.999963500585004,0.9999635005850069,0.5354149262756988,8.333067082012073,0.00017406972431354006,8.332893009411933,8.33289301228776,2.8758275760765173e-09
25.0,18.26284287026162,0.0,9.999999981613874,2026-08-25 08:30:00-07:00,True,0.9999657466950146,0.9999657466950175,0.4848867547350115,6.737300269148431,0.00014313730628464329,6.737157129738382,6.737157131842146,2.1037642738974682e-09
25.0,19.780374453002064,0.0,9.999999983154412,2026-08-25 08:45:00-07:00,True,0.9999678826955549,0.9999678826955576,0.4429630707090574,5.219745346417126,0.00011979799580535655,5.219625546997936,5.2196255484213205,1.423384965448804e-09
25.0,21.213203435596423,0.0,9.99999998425195,2026-08-25 09:00:00-07:00,True,0.9999698994448726,0.9999698994448751,0.41054992834860204,3.7868997642508058,0.00010319894284521069,3.786796564403577,3.7867965653079607,9.043836790567639e-10
25.0,22.555194224369323,0.0,9.99999998624318,2026-08-25 09:15:00-07:00,True,0.9999717883119522,0.9999717883119552,0.3881019133448089,2.444898218241839,9.244208391157827e-05,2.4448057756306767,2.4448057761579274,5.272506875542149e-10
25.0,23.800600208737055,0.0,9.999999989162884,2026-08-25 09:30:00-07:00,True,0.999973541213391,0.9999735412133934,0.3753574624809552,1.1994863956181507,8.660414872929323e-05,1.1993997912629446,1.1993997914694214,2.0647683562913244e-10
25.0,24.94408836907635,0.0,11.023367367994338,2026-08-25 09:45:00-07:00,True,0.9999751506479251,0.999975150647927,0.37123521794598435,0.05599638850806496,8.475758349344176e-05,0.05591163092364937,0.05591163092457152,9.22151244253655e-13
25.0,25.980762113533157,0.0,11.256298373991608,2026-08-25 10:00:00-07:00,True,0.9999766097284665,0.9999766097284686,0.37399262738277994,-0.9806761231708074,8.599047627433264e-05,-0.9807621135331566,-0.9807621136470818,-1.1392520260500305e-10
25.0,26.906182245980652,0.0,11.70901666752004,2026-08-25 10:15:00-07:00,True,0.9999779122115167,0.9999779122115187,0.3815721433054551,-1.9060928195913642,8.942660463094398e-05,-1.9061822459806521,-1.9061822461959952,-2.1534307670378894e-10
25.0,27.716385975338603,0.0,12.896516619695936,2026-08-25 10:30:00-07:00,True,0.9999790525238217,0.9999790525238239,0.39195099386165255,-2.716291732070343,9.424355731539435e-05,-2.7163859753386035,-2.7163859756276585,-2.8905500215614666e-10
25.0,28.40790388485317,0.0,13.705893806857706,2026-08-25 10:45:00-07:00,True,0.9999800257861667,0.9999800257861692,0.4033657610407815,-3.407804194543886,9.969057178545881e-05,-3.4079038848531695,-3.4079038851156715,-2.625020201207917e-10
25.0,28.97777478867205,0.0,14.650615327549362,2026-08-25 11:00:00-07:00,True,0.9999808278342073,0.9999808278342102,0.4143986152546024,-3.9776696849979407,0.00010510396730387583,-3.9777747886720505,-3.9777747889652444,-2.9319391359194924e-10
25.0,29.423558412096913,0.0,15.701210481849076,2026-08-25 11:15:00-07:00,True,0.9999814552362419,0.9999814552362448,0.42397462352545456,-4.423448491413395,0.00010992090528884547,-4.423558412096913,-4.423558412318684,-2.2177104597176367e-10
25.0,29.74334584121431,0.0,16.82775512895968,2026-08-25 11:30:00-07:00,True,0.9999819053078619,0.9999819053078645,0.4313217442705275,-4.743232150072797,0.00011369129536728906,-4.74334584121431,-4.743345841368164,-1.538538185741345e-10
25.0,29.935767697158106,0.0,17.99999995909962,2026-08-25 11:45:00-07:00,True,0.9999821761234061,0.9999821761234089,0.43592533670639133,-4.935651610470604,0.00011608676282548914,-4.935767697158106,-4.9357676972334295,-7.532374723950852e-11
35.0,30.0,0.0,17.99999996042677,2026-08-25 12:00:00-07:00,True,0.9999581418873676,0.9999581418873713,0.5723286966691337,5.000199426648092,0.00019944695912727184,5.0,4.999999979688965,-2.0311034631959046e-08
35.0,29.935767697158106,0.0,17.999999961624997,2026-08-25 12:15:00-07:00,True,0.9999580514769634,0.9999580514769668,0.5735381858382206,5.064432581290875,0.00020027851293912135,5.064232302841894,5.064232302777936,-6.395861618102572e-11
